Ranking,Name,Date,Year,Quart,Sales,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,Y0,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
69,동갑내기 과외하기,2003-02-07,3,1qr,30103949502,4937573,54,0,0,0,0,0,1,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,바람과 함께 사라지다,2012-08-08,12,3qr,34614661161,4909937,694,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,공작,2018-08-08,18,3qr,41476760876,4815227,1317,1,1,0,0,0,0,0,1,44,6,1,0,0,0,0,0,0,0,0,0,0,0,1
72,"님아, 그 강을 건너지 마오",2014-11-27,14,4qr,37355277679,4801527,206,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,11,1qr,35841769500,4786259,611,1,0,0,0,0,1,0,0,29,1,1,0,0,0,0,1,0,0,0,0,0,0,0
74,군도: 민란의 시대,2014-07-23,14,3qr,36987755999,4774895,1394,1,1,0,0,0,0,0,0,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0
75,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,12,1qr,36538823500,4719872,699,0,1,0,0,0,0,0,1,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0
76,신세계,2013-02-21,13,1qr,34881330905,4682492,671,0,1,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0
77,도가니,2011-09-22,11,3qr,35566854800,4662822,644,0,0,0,1,0,0,0,0,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0
78,내 아내의 모든 것,2012-05-17,12,2qr,34222160500,4598583,563,0,0,1,0,0,1,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,판도라,2016-12-07,16,4qr,36064461064,4583645,1166,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,연가시,2012-07-05,12,3qr,32175400664,4515833,759,0,0,1,0,1,0,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0
81,강철비,2017-12-14,17,4qr,35489666466,4452755,1426,0,1,1,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,1,0
82,강철중: 공공의 적 1-1,2008-06-19,8,2qr,28465757767,4300670,659,0,1,0,0,0,0,0,1,29,3,0,0,1,0,0,0,0,0,0,0,0,0,0
83,아가씨,2016-06-01,16,2qr,35211229991,4287839,1171,0,0,1,0,0,0,1,0,36,4,1,0,0,0,0,0,0,0,0,0,1,0,0
84,용의자,2013-12-24,13,4qr,30037161000,4131248,807,0,1,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0
85,건축학개론,2012-03-22,12,1qr,30219800500,4110645,593,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0
86,태풍,2005-12-14,5,4qr,29304939102,4094395,115,0,1,0,0,0,0,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,7급 공무원,2009-04-22,9,2qr,26701311856,4088799,475,0,0,1,0,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0
88,색즉시공,2002-12-11,2,4qr,30192959301,4082797,41,0,0,0,0,0,1,1,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0
89,댄싱퀸,2012-01-18,12,1qr,30129259500,4057546,534,0,0,1,0,0,0,0,0,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0
90,우리 생애 최고의 순간,2008-01-10,8,1qr,26151780425,4044582,418,0,0,1,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,꾼,2017-11-22,17,4qr,31313568795,4018341,1314,0,0,1,0,0,0,0,1,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0
92,타짜-신의 손,2014-09-03,14,3qr,32373120927,4015361,890,0,1,0,0,0,0,0,1,26,3,0,0,0,0,0,0,0,0,1,0,0,0,0
93,공공의 적 2,2005-01-27,5,1qr,28591920350,3911356,95,0,1,1,0,0,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,박수건달,2013-01-09,13,1qr,28379548569,3897969,599,0,0,1,0,0,1,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0
95,한반도,2006-07-13,6,3qr,34930192953,3880308,126,1,1,1,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0
96,조선명탐정 : 사라진 놉의 딸,2015-02-11,15,1qr,30456879428,3872015,811,0,0,0,0,0,1,0,0,27,5,1,0,0,0,0,0,0,0,0,1,0,0,0
97,역린,2014-04-30,14,2qr,29893297890,3849433,1054,1,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,1,0,0,0,0
98,남한산성,2017-10-03,17,4qr,31225083792,3849087,1229,1,0,1,0,0,0,0,0,25,3,1,0,0,0,0,0,0,0,0,0,0,1,0
