Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
2,11,242,0,0,1,0,0,0,0,0,32,0,0
2,17,1054,1,0,0,0,0,0,0,0,25,0,1
2,8,270,0,0,0,1,0,0,0,0,38,0,0
2,14,629,0,0,1,0,0,0,0,0,21,0,1
2,7,86,0,0,0,0,0,1,0,0,35,1,0
2,14,555,0,0,1,0,0,0,0,0,32,1,0
2,8,336,0,1,0,0,0,0,0,0,22,0,1
2,12,550,0,0,0,0,0,0,0,0,31,0,1
2,7,64,0,0,0,0,0,1,0,0,23,0,0
2,1,0,0,0,0,0,0,1,0,0,22,0,0
2,2,45,0,0,1,0,0,0,0,0,29,0,0
2,15,794,0,1,0,0,0,0,0,1,31,0,0
2,5,75,0,0,0,0,0,1,0,0,30,0,1
2,2,32,0,0,1,0,0,0,0,0,21,0,0
2,3,47,0,1,0,0,0,0,0,0,34,0,0
2,10,416,0,1,0,0,0,0,0,0,26,0,1
2,8,315,0,1,0,0,0,0,0,0,26,0,0
2,5,54,0,0,0,0,0,1,0,0,34,0,1
2,7,66,0,0,0,0,0,1,0,0,18,0,1
2,12,553,0,0,1,0,0,0,0,0,35,0,1
2,3,49,0,0,1,0,0,0,0,0,25,0,0
2,6,64,0,0,1,0,0,0,0,0,34,0,1
2,9,375,0,1,0,0,0,0,0,0,30,0,1
2,9,393,0,0,1,0,0,0,0,0,17,0,1
2,4,58,0,0,0,0,0,1,0,0,35,0,0
2,6,87,1,0,0,0,0,0,0,0,27,0,1
2,4,33,0,0,0,0,0,1,0,0,17,0,0
2,18,962,0,0,1,0,0,0,0,0,35,0,0
2,11,413,0,0,1,0,0,0,0,0,24,0,1
2,18,884,0,0,1,0,0,0,0,0,35,1,0
2,8,339,0,0,0,1,0,0,0,0,20,0,0
2,17,889,0,0,1,0,0,0,0,0,17,0,0
2,5,47,0,0,0,0,0,1,0,0,28,0,1
2,14,584,0,0,0,1,0,0,0,0,29,1,0
2,15,551,0,1,0,0,0,0,0,0,31,1,0
2,6,42,0,0,1,0,0,0,0,0,35,0,1
2,6,65,0,0,1,0,0,0,0,0,25,0,1
2,14,682,0,0,1,0,0,0,1,0,23,0,0
2,7,83,1,0,0,0,0,0,0,0,23,0,0
2,4,76,0,0,0,1,0,0,0,0,32,0,1
2,16,764,1,0,0,0,0,0,0,0,28,0,1
2,13,567,0,1,0,0,0,1,0,0,31,0,0
